Date,Time_A/P,Building,P(epsi) or C(anteen),Machine ID/ Asset #,Problem,Date Reported,Who Called it In?,Pepsi Confirm  # or n/a,Name of Person at P or C reported to,Other Notes / Service Deadline
1/16/19,2:10 PM,UMC,P,11319620,Product low,1/16/19,Cate,n/a,Jose has dispatched,
1/17/19,1:31 AM,ENVD,P,2565297,use credit card no product dispensed,1/17/19,Linda,116912032,Charles will submit,
1/17/19,4:10 PM,Rec Center,P,10735614,"Attepmted 3x to get water, looks like charged $6 on credit card",1/18/19,Cate,116926659,Myca has dispatched,
1/17/19,9:20 AM,Leeds,P,2598156,cc reader not authorizing (on some of the machines; placed tickets for all of them),1/18/19,Cate,116926684,Myca has dispatched,
1/17/19,9:20 AM,Leeds,P,11139703,not authorizing cc,1/18/19,Cate,116929701,Myca has dispatched,
1/17/19,9:20 AM,Leeds,P,8151835,not authorizing cc,1/18/19,Cate,116926694,Myca has dispatched,
1/17/19,9:20 AM,Leeds,P,2565283,not authorizing cc,1/18/19,Cate,116926697,Myca has dispatched,
1/17/19,9:20 AM,Leeds,C,67764,not authorizing cc,1/18/19,Cate,n/a,Jake has dispatched,
1/18/19,1:28 PM,Willard,C,84099,Not accepting bills,1/18/19,Cate,n/a,Jeanne has dispatched,
1/21/19,3:50 PM,CUBS,C,67721,Joe Allen: prices displayed are lower than the amount charged for several products,1/21/19,Cate,n/a,Jake has dispatched,eob Tue 1/21/19
1/25/19,10:31 AM,Armory,C,68891,"Used cc and cash did not get product. Rec'd email w/detail later: card inserted, price dropped to 1/2, failure to complete transaction.",1/25/19,Linda,n/a,Jeanne will contact Gilbert. Originally determined non-issue; call reopened 2:15p,"Email was sent to us @ 12:40pm same day; replied that service had been requested, asked for detail. Tech will be out Monday 1/28/19."
1/28/19,12:00 PM,CUBS,P,11051329,Failed to dispense,1/29/19,Cate,117075468,Roy has dispatched,eob 1/30/19
1/29/19,3:49 PM,ARC,P,2563398,"""Empty""",1/29/19,Cate,n/a,Ernest has dispatched,"2/4 Myeesha put in 2nd request, will follow up w/ETA."
1/30/19,7:54 PM,Libby,C,66352,Sour Patch Kids got stuck,1/31/19,Cate,n/a,Jeanne has dispatched,
1/31/19,12:24 PM,Ketchum,C,67829,Very low product,1/31/19,Cate,n/a,Jeanne has dispatched,
2/1/19,11:57 AM,CUBS,P,11051329,Failed to dispense,2/1/19,Cate,117131252,Sharice has dispatched,Previous call for same issue was closed out. EOB 2/4/19
2/1/19,1:15 PM,CUBS,C,67721,Low product,2/1/19,Cate,n/a,Jeanne has dispatched,
2/4/19,1:01 AM,Willard,C,84099,not working,2/4/19,Linda,n/a,Jeanne has dispatched,
2/6/19,11:17 AM,Telecom,P,2579756,Nathan Long has requested removal via email,2/6/19,Cate,n/a,"Left vm w/Scott, Mike Minnehan's replaement.","Emil spoke w/Scott, confirmed request morning of 2/7/19."
2/6/19,4:02 PM,ARC,P,2566398,Still empty on 2/4,2/6/19,Cate,n/a,"Spoke again w/Myeesha, who had no new info; sent email & will call",Myesha called 2/7/19 to confirm fill request will be completed 2/8/19.
2/7/19,2:48 PM,Bear Creek A,P,2564599,Wendy got a message last week re: Not giving change back,2/7/19,Cate,117218023,Jerry has dispatched,eob 2/8/19
2/8/19,12:52 PM,Carlson Gym,P,2582414,Failed to dispense,2/8/19,Cate,117237095,Keenan has dispatched,eob 2/11/19
2/9/19,9:04 PM,Carlson Gym,P,2582414,"Victor Mestas, Thompson Jazz teacher mentioned Imig staff, faculty, classes & rehearsals transferred here during Imig remodel",2/11/19,Cate,n/a,Emailed Proctor Trisha Ward on 2/11 to confirm,Emailed Scott @ Pepsi on 2/11 w/link regarding this change.
2/12/19,1:11 PM,Muenzinger,P,8051844,Stuck Gatorade (E7),2/12/19,Cate,117280727,Astra has dispatched,eob 2/13/19
2/12/19,3:25 PM,Chey-Arapaho,C,69934,Large pile of stuck items; students manipulated machine to get them out.,2/12/19,Cate,n/a,Jeanne has dispatched,
2/12/19,5:44 PM,Muenzinger,P,8051844,D2 not dispensing,2/13/19,Cate,117280727,"Mina has checked & added info to call (see above), which has not been closed yet.",eob 2/13/19
2/13/19,1:446 p,Engineering,P,10966368,Bad product several times; may be freezing,2/13/19,Cate,117304960,Keenan has dispatched,eob 2/14/19
2/13/19,2:30 PM,IEC,P,2579709,"Not accepting bills, seems completely sold out!",2/13/19,Cate,117305763,Cortina has dispatched,eob 2/14/19
2/13/19,4:03 PM,Stearns,P & C,New,Installation granted by Jon Keiser,2/13/19,Cate,n/a,Emailed Scott & Ronda,Specific location marked on map
2/14/19,12:42 PM,SEEC,P,10617487,Expired Pepsi product,2/14/19,Cate,n/a,Jose has dispatched,
2/14/19,1:10 PM,unknown,C,unknown,"""student"" request for Oogies Popcorn",2/14/19,Cate,n/a,Jeanne will forward this up,"email from fevergaming press gmail, ""student"" did not sign name or leave any other contact info."
2/15/19,10:10 AM,Willams Vill.North,P,2564602,CC reader not working,2/15/19,Linda,117338983,Clarice,eob Monday Feb 18
2/15/19,2:20 PM,UMC,P,11319620,Low product,2/15/19,Cate,n/a,Allen has dispatched,Also suggested increased fill schedule
2/15/19,3:30 PM,Libby,C,84070,$2.50 Short-changed,2/15/19,Cate,n/a,Jeanne has dispatched,"Also called front desk, asked to put up sign, tech can't be out until Monday"
2/18/19,1:45 PM,Chey-Arapaho,C,84069,Service light blinking,2/18/19,Cate,n/a,Jeanne has dispatched,Probably due to Libby customers
2/18/19,5:36 PM,Fleming,C,66041,"Pop Tarts didn't drop, machine didn't respond to $2.00 + selection",2/18/19,Cate,n/a,Jeanne has dispatched,Emailed Canteen; dispatched am 2/19/19.
2/19/19,8:30 AM,Rec Center,P,10179649,use of CC did not activate arm for muscle milk,2/19/19,Linda,117370585,Shana  EOB 2/19/19,
2/19/19,8:36 AM,Rec Center,P,10177395,Vita water leaning forward blocking arm,2/19/19,Linda,117370693,Marla EOB 2/19/19,
2/21/19,9:15 AM,Computing Cntr,P,7928568,Expired Pepsi product,2/21/19,Linda,,"give 48 hours, will check",
2/22/19,11:20 AM,Sewall mail room,C,84203,No change given,2/22/19,Linda,n/a,Essie will submit,
2/22/19,11:20 AM,LASP,C,67145,Needs to be restocked ,2/22/19,Linda,n/a,Essie will submit,
2/22/19,2:25 PM,Humanities,P,11174350,CC reader problems,2/22/19,Dave,Unknown,"A customer must have called this in. Dave, our new Pepsi night tech checked & ok","Dave, our new Pepsi night tech called for directions; I gave him 3 PTS campus maps, emailed Scott to offer more."
2/25/19,11:04 AM,CUBS,P,11051329,Selection 18 failed to vend w/cash pmt,2/25/19,Cate,117463515,Lucetta has dispatched,eob 2/26/19
2/25/19,8:09 PM,Rec Center,P,10177395,"Not working, no detail given",2/26/19,Cate,117484242,Lashonna,eob 2/27/19
2/27/19,12:00 PM,Rec Center,P,10177395,not dispensing,2/27/19,Linda,117503535,Carolyn has dispatched,eob 2/28
3/1/19,9:55 AM,Engineering,P,10735615,used cc did not dispense,3/1/19,Linda,117539247,Anne has dispatched,eob 3/4/19
3/3/19,6:54 PM,Andrews,P,8400674,"""Empty""",3/4/19,Cate,n/a,Rose has dispatched,not given
3/6/19,12:05 PM,Fleming,P,10130346,"Arm is stuck, can't dispense",3/6/19,Kim,117610436,China has dispatched,eob 3/7 (Kari Robinson @ wolf called on behalf of Robby Aaron)
3/6/19,3:40 PM,Fleming,P,10130346,"Same issue; lots of Diet P dropped, only 2 options for low/no sugar, want more",3/6/19,Cate,n/a,Emailed Scott P,
3/11/19,12:23 PM,ARC,C,66207,Not accepting bills,3/11/19,Cate,n/a,Jeanne has dispatched,
3/12/19,8:05 AM,Chey-Arapaho,C,84069,Temporarily out of service light is on,3/12/19,Cate,n/a,Jeanne has dispatched,May have been addressed before I called this in @ 1:35p
3/12/19,3:18 PM,Muenzinger,P,8051844,"Tried to dispense, failed",3/12/19,Cate,117695528,Charise has dispatched,eob 3/13/19
3/12/19,3:23 PM,Bear Creek A,P,2564599,Failed to dispense Thur & Sat nights,3/12/19,Cate,117695543,Charise has dispatched,eob 3/13/19
3/12/19,2:56 PM,Will Vill North,P,2564602,"""Cash only"" message",3/12/19,Cate,117694483,Brittany has dispatched,eob 3/13/19
3/12/19,2:20 PM,Stearns,C,66962,8 Empty Slots,3/12/19,Cate,n/a,Jeanne has dispatched,
3/12/19,3:15 PM,Bear Creek B,C,69935,5 Empty Slots,3/12/19,Cate,n/a,Jeanne has dispatched,
3/14/19,10:30 AM,ARL/CASA,C,67807,Refill request,3/14/19,Kim,n/a,Essie has dispatched,
3/18/19,11:25 AM,Chey-Arapaho,C,84069,Blinking service light,3/18/19,Cate,n/a,Jeanne has dispatched,email from Dylan Price 10:41 p same complaint; able to reply that someone should be out Tuesday on Tuesday.
3/19/19,3:19 PM,LASP,C,67145,Product low,3/19/19,Cate,n/a,Jeanne has dispatched,
3/19/19,3:19 PM,LASP,P,2565314,Product low,3/19/19,Cate,n/a,Patty has dispatched,
3/20/19,9:50 AM,Stearns,C,66962,Needs to be refilled,3/20/19,Linda,n/a,Jeanne has dispatched,
3/20/19,8:29 AM,ARL/CASA,C,67807,Product low,3/21/19,Cate,n/a,Jeanne has dispatched,
3/21/19,1:55 PM,Muenzinger,P,10966321,Didn't move after selection was made,3/21/19,Cate,117838059,Chase has dispatched,eob 3/22
3/21/19,3:15 PM,Computing Cntr,P,7928568,expired 12/2018 Diet Dr. P,3/21/19,Cate,n/a,Jose has dispatched,Previous call 2/21 ws for Dr. P x Oct 2018
3/22/19,9:00 AM,IEC,P,2579709,"Martin @ IEC called, thinks machine is still full of product, not empty as scheduled",3/21/19,Cate,n/a,"Martin saw ""not available"" in morning, but Cate saw prices @ 1:45pm Scott said it's offline","Still scheduled to be emptied today per Scott. @ 2:34p, 5:28p Martin says no one came."
3/25/19,12:20 PM,ARL/CASA,C,67807,"Out of product, called in last 3/20/19",3/25/19,Linda,n/a,Jeanne has dispatched,Reported low again 3/26 early am
3/25/19,3:40 PM,CUBS,P,11038360,"Not dispensing w/cash pmt, not giving change",3/25/19,Cate,117888352,Marilyn has dispatched,"This week we're only open Mon & Thurs 11-4, so eob 3/28 is svc deadline"
3/26/19,5:48 AM,SPSC,C,66353,Product low,3/26/19,Cate,n/a,Jeanne has dispatched,26-Mar
3/26/19,5:48 AM,LASP,C,67088,Product low,3/26/19,Cate,n/a,Jeanne has dispatched,26-Mar
3/26/19,11:07 AM,Bear Creek A,C,69837,Break-in evident (Ronda @ Canteen confirmed she was mistaken: NO break-in!),3/26/19,Cate,n/a,"Talked to Ronda, I will file a police report","Contacted CUPD @ 11:28a, Called Pepsi to advise them of situation. T19000218"
3/25/19,6:56 PM,Williams Vill. North,C,67809,Break-in evident @ 8am 3/25 (Ronda @ Canteen confirmed she was mistaken: NO break-in!),3/26/19,Cate,n/a,"Ronda notified us, I asked Wendy to file a police report","Called Pepsi to advise them of situation, Officer Sara Fraser has responded to this issue."
3/26/19,11:23 AM,Regent,P,8009991,"Dark, not accepting cash",3/26/19,Cate,117903026,Tonya has dispatched,eob 3/27
3/26/19,11:23 PM,Regent,P,10436458,Appears to be turned off,3/26/19,Cate,117903043,Tonya has dispatched,eob 3/27
3/26/19,4:18 PM,ARC,C,66207,Pretzels keep getting stuck,3/26/19,Cate,n/a,Jeanne has dispatched,ARC will need bank replenished
4/1/19,12:01 PM,Education,C,67358,Items stuck above eye mechanism,4/1/19,Cate,n/a,Jeanne has dispatched,
4/2/19,8:14 AM,Police,P,2565320,"2x in 2 weeks, Failed to dispense",4/2/19,Cate,118018757,Astra has dispatched,eob 4/3/19
4/2/19,11:23 AM,Duane Physics,C,67759,Rejecting 95% of coins,4/2/19,Cate,n/a,Jeanne has dispatched,
4/2/19,5:44 PM,Fleming,C,66041,Pop Tarts failed to dispense,4/2/19,Cate,n/a,Dispatch confirmed 4/3/19,emailed compas 4/2/19 @ 5:55p
4/3/19,9:50 AM,CUBS,P,11051329,"White chocolate failed to dispense, stole cash",4/3/19,Cate,118054518,Astra has dispatched,eob 4/4/19
4/4/19,11:27 AM,Fleming,C,66041,popcorn dropped into hole can not get to product. Tried having skittles drop on it and force out. Did not work.,4/4/19,Linda,n/a,Jeanne has dispatched,
4/3/19,11:48 PM,Andrews,P,8400764,"Seems to empty very fast, all options ""Sold out"" at this time.",4/4/19,Cate,n/a,Marlene has dispatched,
4/3/19,11:48 PM,Andrews,P,8400764,May be out of order; last month was turning off & on overnight while empty,4/4/19,Cate,118086486,Melanie has dispatched,eob 4/5/19
4/4/19,2:27 PM,LASP,C,67145,Product low,4/4/19,Cate,n/a,Jeanne has dispatched,
4/4/19,6:42 PM,Education,C,67358,Popcorn stuck above sensor at bottom AGAIN,4/5/19,Cate,n/a,Jeanne has dispatched,
4/5/19,12:26 AM,Bear Creek A,C,69837,Jerky stuck against glass above drop bin,4/5/19,Cate,n/a,Jeanne has dispatched,
4/8/19,7:23 AM,UMC,P,11319620,Machine almost empty,4/8/19,Emil,n/a,Not filled by 4/9 3:43pm per Emil,Called in again. Ernest re-sent the request; there were no notes added before now.
4/6/19,12:57 PM,Rec Center,C,68681,"Stole $2.30, item was $2.25",4/8/19,Cate,n/a,Jeanne has dispatched,
4/7/19,8:50 PM,Bear Creek B,C,69935,Hot Cheetos stuck above sensor,4/8/19,Cate,n/a,Jeanne has dispatched,
4/6/19,12:57 PM,Rec Center,P,10177395,"Failed to vend, money was refunded by machine",4/8/19,Cate,118136371,Anita has dispatched,
4/10/19,4:34 AM,Andrews,P,8400764,"Note from filler says machine has product, still showing ""sold out"" for every item",4/10/19,Cate,118179655,Jonathan has dispatched,eob 4/11/19
4/11/19,12:49 PM,Will Vill North,P,2564602,"Gatorade failed to dispense 3x for cc, did work 2x with cash: E5, E6, E7",4/10/19,Cate,118198485,Liz has dispatched,"11pm on 4/12/19, update: 4/11 before 11pm"
4/13/19,5:16 PM,Kittredge West,C,68037,3 items stuck,4/15/19,Cate,n/a,Essie has dispatched,
4/14/19,8:59 AM,Willard,C,67657,Didn't vend Reese's,4/15/19,Cate,n/a,Essie has dispatched,
4/15/19,1:26 AM,Will Vill North,P,2564602,Gatorade failed to dispense,4/15/19,Cate,118239614,Kim has dispatched,eob 4/16/19
4/16/19,3:44 PM,Muenzinger,P,8051844,Intermittent malfunctions,4/16/19,Cate,118262391,Jaquassia has dispatched,eob 4/17/19
4/17/19,5:25 AM,Bear Creek A,P,2564599,"Not accepting quarters, ate $1.50",4/17/19,Cate,118280654,Brittany has dispatched,eob 4/18/19
4/17/19,12:54 PM,Muenzinger,C,67762,"Kit Kat marked $1.50, $3 in, $0.75 back",4/17/19,Cate,n/a,Jeanne has dispatched,"Customer received $1 coin, so no problem."
4/19/19,11:18 AM,Ekeley,P,10707445,"No power, unable to see outlet",4/19/19,Linda,n/a,Emil checked it,No need for service.
4/19/19,10:06 AM,Chey-Arapaho,C,84069,Changer open; needs to be locked shut,4/19/19,Cate,n/a,Mina has dispatched. Gilbert will come today 4/19 after 3:08pm,Essie added ASAP due to Andrew calling & stating money is accessible to anyone.
4/19/19,2:44 PM,Regent,C,67760,Baked Lays have holes in top of packages,4/19/19,Cate,n/a,Essie has dispatched,
4/22/19,9:14 AM,Muenzinger,P,2565275,Diet products totally out - needs refill,4/22/19,Emil,n/a,Marlene has dispatched,
4/23/19,12:54 PM,Muenzinger,P,2565275,TOTALLY OUT NEEDS REFILL,4/23/19,Linda,,Maryann,EOB possible
4/23/19,12:54 PM,Muenzinger,P,10966321,use credit card transaction gets cancelled.,4/23/19,Linda,118360215,Stephanie has dispatched,
4/23/19,5:16 PM,CUBS,P,10963775,Mango bubly fell to bottom,4/23/19,Cate,118365627,Molly has dispatched,eob 4/24/19
4/23/19,7:53 PM,Leeds,C,67764,Not accepting card payment,4/24/19,Cate,n/a,Essie has dispatched,
4/24/19,2:00 PM,Bear Creek B,C,69935,Items stuck above eye mechanism,4/24/19,Cate,n/a,Essie has dispatched,
4/26/19,7:00 AM,Connection/Bowling,P,10442652,Accepts money not dispensing,4/26/19,Kim,118414640,Jess has dispatched,eob 4/26/19
4/25/19,12:01 AM,Kittredge West,C,68037,Items stuck above eye mechanism,4/29/19,Cate,n/a,Jeanne has dispatched,
4/27/19,10:43 PM,Stadium,P,2565298,Bottles of Lipton stuck in machine,4/29/19,Cate,,Haley confirmed call closed 4/30,Phone problems; fill svc sent email
4/29/19,3:25 PM,Wolf,C,67278,"Stole $1 bill, didn't recognize it",4/29/19,Cate,n/a,Jeanne has dispatched,
5/1/19,11:52 AM,Regent,P,8009991,"Can sitting on top of arm, leaking",5/1/19,Cate,118482882,Haley has dispatched,
5/3/19,10:34 AM,Williams Vill. North,P,2564062,"Water not dispensing, no asset number given",5/3/19,Kim,118520308,Lea by EOB 5/6/19,
5/3/19,10:34 AM,Williams Vill. North,P,2565296,"Water not dispensing, no asset number given",5/3/19,Kim,118520308,Lea by EOB 5/6/19,
5/6/19,1:19 PM,LASP,P,8035818,"Expired OJ 3/4/19, Peach Tea 4/15/19",5/6/19,Cate,n/a,Ernest has dispatched,
5/7/19,10:20 AM,Biotech,C,69060,"Credit card reader not functioning properly; some work, some don't.",5/7/19,Cate,n/a,Jeanne has dispatched,Thur & Fri BAD TRAFFIC ON CAMPUS
5/6/19,9:40 PM,Bear Creek A,P,2564599,"Frappucino failed to dispense, card pmt",5/7/19,Cate,118572514,Jose has dispatched,eob 5/8/19
5/8/19,10:35 AM,Leeds,P,8051835,starbucks dropped to bottom stuck,5/8/19,Linda,118585464,Anita has dispatched,
5/7/19,9:51 PM,Baker,P,10387967,"Ate $4 in coin, did not credit or give change",5/8/19,Cate,118589578,Roxanne has dispatched,Completed 5/8/19
5/9/19,1:40 PM,CUBS,P,10963775,"X Homing Failure & ""Cash Only"" message",5/9/19,Cate,118610850,Kim has dispatched,eob 5/9/19
5/9/19,3:58 PM,DLC,C,67010,Failed to give $0.75 change,5/9/19,Cate,n/a,Essie has dispatched,
5/13/19,9:37 AM,Norlin,P,2666058,Sold out ,5/13/19,Cate,n/a,Michelle has dispatched,
5/13/19,1:20 PM,RL-2,C,67281,"Product door stuck open, product can't fall",5/13/19,Cate,n/a,Mina has dispatched.,
5/13/19,4:10 PM,UMC,P,11319620,Virtually empty!,5/13/19,Cate,n/a,Patty has dispatched,
5/13/19,4:10 PM,UMC,P,10356368,No water,5/13/19,Cate,n/a,Patty has dispatched,
5/14/19,1:59 PM,UMC,P,2580456,Not seated properly after moving: needs feet to be adjusted ASAP,5/14/19,Cate,118674473,Jonathan has dispatched,"eob 5/21/19, closed same day per Jaquassia on 5/21/19"
5/16/19,1:39 AM,UMC,C,67285,"not getting product, correct change",5/16/19,Linda,n/a,Jeanne will submit issue,
5/16/19,1:45 AM,UMC,P,2580456,"not getting product, correct change",5/16/19,Linda,118718437,WILL SUBMIT ISSUE,eob 5-17-19
5/18/19,10:26 AM,Humanities,C,67165,Not responding when selection is made,5/20/19,Cate,n/a,Essie has dispatched,
5/18/19,3:19 PM,Rec Center,,,"Several machines ""stopped working""",,n/a,n/a,waiting for customer reply,
5/21/19,2:16 PM,Muenzinger,P,8051844,Dark except for card reader,5/21/19,Cate,118788194,Jaquassia has dispatched,eob 5/22/19
5/21/19,2:38 PM,UMC,P,2580456,"Still wobbly, request stabilization again",5/21/19,Cate,118788287,Jaquassia has dispatched,"eob 5/28/2019, appears fixed by 2pm 5/22"
5/22/19,3:50 PM,UMC,P,2580456,"Pepsi button yields Mtn Dew, low product",5/22/19,Cate,n/a,Michelle has dispatched,
5/22/19,3:50 PM,UMC,C,67285,Mike & Ike package too small,5/22/19,Cate,n/a,Essie has made a note  :),
5/22/19,3:50 PM,UMC,P,10356368,Slow dispensing; product gets left behind,5/22/19,Cate,118810893,Keenan has dispatched,eob 5/23
5/23/19,3:18 PM,Muenzinger,P,8051844,"""Cash only"" message",5/23/19,Cate,118833784,Jonathan has dispatched,eob 5/24
5/28/19,4:29 PM,Rec Center,All,All,Received Summer Camp Schedule,5/28/19,Cate,n/a,Forwarded to Pepsi & Canteen,
5/29/19,8:20 AM,Norlin,P,2666058,Out of product,5/29/19,Linda,n/a,,within 48 hours
5/29/19,1:40 PM,Muenzinger,P,8051844,"Sometimes ""cash only"" message, sometimes can't make a selection at all",5/29/19,Cate,118898482,"Noted this is a frequent issue, Jaquassia has dispatched",eob 5/30/19
5/30/19,8:37 AM,Economics,C,66211,Low product,5/30/19,Cate,n/a,Nina has dispatched,
5/30/19,7:47 AM,Clare Small,C,69800,Empty,5/30/19,Cate,n/a,Nina has dispatched,
5/30/19,2:44 PM,Biotech,C,66422,Jackpotted $10 change in quarters,5/30/19,Cate,n/a,Essie has dispatched,$ is w/Angela Janaceck 5-3788
5/30/19,3:44 PM,Rec Center,P,10735614,"Bottle stuck, preventing dispense",5/30/19,Cate,118921735,Camesia has dispatched,eob 5/31/19
5/31/19,3:53 PM,Wardenburg,C,67105,Not crediting cash,5/31/19,Cate,n/a,Essie has dispatched,
5/31/19,4:30 PM,ARC,C,66207,"Almost empty, not accepting quarters",5/31/19,Cate,n/a,emailed canteen,
6/1/19,3:10 PM,Rec Center,P,10177395,not working,6/3/19,Cate,118961886,Kim has dispatched,eob 6/4/19
6/1/19,3:12 PM,Rec Center,P,10735614,not working,6/3/19,Cate,118961927,Kim has dispatched,eob 6/4/19
6/2/19,11:54 AM,Rec Center,P,10179649,"Failure to dispense first time, may have charged card",6/3/19,Cate,118961981,Kim has dispatched,eob 6/4/19
6/4/19,1:53 PM,Rec Center,C,68682,"Reese's Outrageous dispensed 2, next coil empty before the rest",6/4/19,Cate,n/a,Jeanne has dispatched,
6/4/19,4:53 PM,Kitt Central,C,66304,Cheetos stuck @ coil/ring,6/4/19,Cate,n/a,emailed canteen,Dispatched by Jeanne for 6/5/19 per email
6/5/19,6:31 AM,Rec Center,P,10179649,"Vandalized, noticed 6/4 by Lloyd Martinez @ Pepsi, needs to be replaced.",6/5/19,email from Scott @ Pepsi,475289?,"Lloyd reported to Brian Fellman, reported to Scott P all @ Pepsi","I spoke w/Dave Schofield @ Rec Center, emailed him, Scott & Emil. Advised report to CU PD."
6/5/19,9:14 AM,Chey-Arapaho,C,69934,"Failure to dispense on 6/3/19, multiple charges showing on card",6/5/19,Cate,n/a,Jeanne has dispatched,Forwarded customer reply email to Jeanne
6/5/19,12:00 PM,UMC,P,11319620,"Arm is stuck, can't dispense",6/5/19,Emil,n/a,Brian,No service requested after all: Emil did some trouble-shooting per phone CSR.
6/5/19,3:15 PM,Rec Center,C,68683,Advised Jeanne of Pepsi vandalism nearby,6/5/19,Cate,n/a,Jeanne has made note,
6/7/19,8:29 AM,ARL/CASA,C,67807,Very low product,6/10/19,Cate,n/a,,
6/7/19,12:30 PM,Andrews,P,8400764,Not working,n/a,n/a,n/a,"Kim V received call, could not get enough info","Cate called Andrews front desk 6/10, answerer said Pepsi machine is fixed"
6/9/19,12:30 PM,Kittredge Central,P,10224792,Empty,6/10/19,Cate,n/a,Michelle has dispatched,"eob ""by the end of the week"""
6/9/19,5:57 PM,Chey-Arapaho,C,69934,"""Enter code to re-home,"" ""Cards offline by vendor,"" not accepting cash",6/10/19,Cate,n/a,Mina has dispatched,ASAP
6/9/19,6:38 PM,Chey-Arapaho,P,2202753,Not responding to cash or card swipes,6/10/19,Cate,119064279,Jesse has dispatched,eob 6/11/19 Also failed purchase 9:01p 6/9
6/11/19,8:39 AM,Economics,C,66211,Needs to be filled,6/11/19,Cate,n/a,Jeanne has dispatched,
6/11/19,8:39 AM,Economics,P,2565304,May need to be filled,6/11/19,Cate,n/a,Mary Lou has dispatched,
6/11/19,1:15 PM,Rec Center,P,10177395,Arm getting stuck,6/11/19,Cate,119084541,Jesse has dispatched,eob 6/12/19
6/7/19,1:00 PM,CUBS,P,11038360,Diet Pepsi coming out dirty & low volume; may be freezing,6/11/19,Cate,119104524,"Nyia w/""after hours"" said she dispatched, Jesse could not find call, dispatched new 6/12/19",Waiting for call back from Pepsi: Get a confirmation number from them. On 6/12 svc by 6/13 eob.
6/10/19,9:45 PM,?,P,?,"Machine ate $4, wouldn't dispense Dr. P",,,,,Waiting for call back from customer re: location
6/12/19,3:22 PM,UMC,P,2580456,GFI keeps tripping,6/12/19,Cate,119106166,Martha has dispatched,eob 6/13
6/12/19,3:23 PM,UMC,P,10356368,"Card reader not working, machine says ""sold out""",6/12/19,Cate,119106179,Martha has dispatched,"eob 6/13 (I suspect this machine is running out of product too fast, requested increase via email to Scott)"
6/13/19,1:20 PM,Norlin,P,2666058,Possibly completely empty,6/14/19,Cate,n/a,Maria has dispatched,"Pointed out that schedule should be constant, not reduced."
6/14/19,1:29 PM,Math,C,67763,"No power, adjacent machines working fine",6/14/19,Cate,n/a,Jeanne has dispatched,
6/14/19,2:50 PM,CUBS,P,11051329,May have failed to dispense for cc attempt,6/14/19,Cate,119143893,Crystal has dispatched,eob 6/17/19
